name,Worldwide,year,trailer,watched,,
It,"$700,381,748",2017,https://www.youtube.com/results?search_query=It+trailer&page=&utm_source=opensearch,0,,
The Wandering Earth,"$699,856,699",2019,https://www.youtube.com/results?search_query=The+Wandering+Earth+trailer&page=&utm_source=opensearch,0,,
Doctor Strange,"$677,718,395",2016,https://www.youtube.com/results?search_query=Doctor+Strange+trailer&page=&utm_source=opensearch,0,,
Justice League,"$657,924,295",2017,https://www.youtube.com/results?search_query=Justice+League+trailer&page=&utm_source=opensearch,0,,
Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901",2018,https://www.youtube.com/results?search_query=Fantastic+Beasts:+The+Crimes+of+Grindelwald+trailer&page=&utm_source=opensearch,0,,
Moana,"$643,331,111",2016,https://www.youtube.com/results?search_query=Moana+trailer&page=&utm_source=opensearch,0,,
Sing,"$634,151,679",2016,https://www.youtube.com/results?search_query=Sing+trailer&page=&utm_source=opensearch,0,,
Ant-Man and the Wasp,"$622,674,139",2018,https://www.youtube.com/results?search_query=Ant-Man+and+the+Wasp+trailer&page=&utm_source=opensearch,0,,
Logan,"$619,021,436",2017,https://www.youtube.com/results?search_query=Logan+trailer&page=&utm_source=opensearch,0,,
Transformers: The Last Knight,"$605,425,157",2017,https://www.youtube.com/results?search_query=Transformers:+The+Last+Knight+trailer&page=&utm_source=opensearch,0,,
Ready Player One,"$582,890,172",2018,https://www.youtube.com/results?search_query=Ready+Player+One+trailer&page=&utm_source=opensearch,0,,
Operation Red Sea,"$579,330,426",2018,https://www.youtube.com/results?search_query=Operation+Red+Sea+trailer&page=&utm_source=opensearch,0,,
Kong: Skull Island,"$566,652,812",2017,https://www.youtube.com/results?search_query=Kong:+Skull+Island+trailer&page=&utm_source=opensearch,0,,
The Mermaid,"$553,810,228",2016,https://www.youtube.com/results?search_query=The+Mermaid+trailer&page=&utm_source=opensearch,0,,
Detective Chinatown 2,"$544,185,156",2018,https://www.youtube.com/results?search_query=Detective+Chinatown+2+trailer&page=&utm_source=opensearch,0,,
X-Men: Apocalypse,"$543,934,105",2016,https://www.youtube.com/results?search_query=X-Men:+Apocalypse+trailer&page=&utm_source=opensearch,0,,
The Meg,"$530,243,742",2016,https://www.youtube.com/results?search_query=The+Meg+trailer&page=&utm_source=opensearch,0,,
Ralph Breaks the Internet,"$529,323,962",2018,https://www.youtube.com/results?search_query=Ralph+Breaks+the+Internet+trailer&page=&utm_source=opensearch,0,,
Hotel Transylvania 3: Summer Vacation,"$528,583,774",2018,https://www.youtube.com/results?search_query=Hotel+Transylvania+3:+Summer+Vacation+trailer&page=&utm_source=opensearch,0,,
The Boss Baby,"$527,965,936",2017,https://www.youtube.com/results?search_query=The+Boss+Baby+trailer&page=&utm_source=opensearch,0,,
Dunkirk,"$525,245,546",2017,https://www.youtube.com/results?search_query=Dunkirk+trailer&page=&utm_source=opensearch,0,,
How to Train Your Dragon: The Hidden World,"$521,799,505",2019,https://www.youtube.com/results?search_query=How+to+Train+Your+Dragon:+The+Hidden+World+trailer&page=&utm_source=opensearch,0,,
Kung Fu Panda 3,"$521,170,825",2016,https://www.youtube.com/results?search_query=Kung+Fu+Panda+3+trailer&page=&utm_source=opensearch,0,,
Dr. Seuss' the Grinch,"$511,595,957",2018,https://www.youtube.com/results?search_query=Dr.+Seuss'+the+Grinch+trailer&page=&utm_source=opensearch,0,,
Maleficent: Mistress of Evil,"$491,730,089",2019,https://www.youtube.com/results?search_query=Maleficent:+Mistress+of+Evil+trailer&page=&utm_source=opensearch,0,,
War for the Planet of the Apes,"$490,719,763",2017,https://www.youtube.com/results?search_query=War+for+the+Planet+of+the+Apes+trailer&page=&utm_source=opensearch,0,,
It Chapter Two,"$473,093,228",2019,https://www.youtube.com/results?search_query=It+Chapter+Two+trailer&page=&utm_source=opensearch,0,,
Bumblebee,"$467,989,645",2018,https://www.youtube.com/results?search_query=Bumblebee+trailer&page=&utm_source=opensearch,0,,
"My People, My Country","$450,064,993",2019,"https://www.youtube.com/results?search_query=My+People,+My+Country+trailer&page=&utm_source=opensearch",0,,
La La Land,"$446,486,224",2016,https://www.youtube.com/results?search_query=La+La+Land+trailer&page=&utm_source=opensearch,0,,
Warcraft,"$439,048,914",2016,https://www.youtube.com/results?search_query=Warcraft+trailer&page=&utm_source=opensearch,0,,
A Star Is Born,"$436,188,866",2018,https://www.youtube.com/results?search_query=A+Star+Is+Born+trailer&page=&utm_source=opensearch,0,,
The Greatest Showman,"$434,993,183",2017,https://www.youtube.com/results?search_query=The+Greatest+Showman+trailer&page=&utm_source=opensearch,0,,
Pokémon Detective Pikachu,"$433,005,346",2019,https://www.youtube.com/results?search_query=Pokémon+Detective+Pikachu+trailer&page=&utm_source=opensearch,0,,
The Secret Life of Pets 2,"$430,051,293",2019,https://www.youtube.com/results?search_query=The+Secret+Life+of+Pets+2+trailer&page=&utm_source=opensearch,0,,
Rampage,"$428,028,233",2018,https://www.youtube.com/results?search_query=Rampage+trailer&page=&utm_source=opensearch,0,,
Bad Boys for Life,"$424,617,855",2020,https://www.youtube.com/results?search_query=Bad+Boys+for+Life+trailer&page=&utm_source=opensearch,0,,
The Captain,"$416,953,262",2019,https://www.youtube.com/results?search_query=The+Captain+trailer&page=&utm_source=opensearch,0,,
Jason Bourne,"$415,484,914",2016,https://www.youtube.com/results?search_query=Jason+Bourne+trailer&page=&utm_source=opensearch,0,,
Kingsman: The Golden Circle,"$410,902,662",2017,https://www.youtube.com/results?search_query=Kingsman:+The+Golden+Circle+trailer&page=&utm_source=opensearch,0,,
The Mummy,"$409,231,607",2017,https://www.youtube.com/results?search_query=The+Mummy+trailer&page=&utm_source=opensearch,0,,
Ice Age: Collision Course,"$408,579,038",2016,https://www.youtube.com/results?search_query=Ice+Age:+Collision+Course+trailer&page=&utm_source=opensearch,0,,
Alita: Battle Angel,"$404,852,543",2019,https://www.youtube.com/results?search_query=Alita:+Battle+Angel+trailer&page=&utm_source=opensearch,0,,
Mamma Mia! Here We Go Again,"$395,044,706",2018,https://www.youtube.com/results?search_query=Mamma+Mia!+Here+We+Go+Again+trailer&page=&utm_source=opensearch,0,,
Solo: A Star Wars Story,"$392,924,807",2018,https://www.youtube.com/results?search_query=Solo:+A+Star+Wars+Story+trailer&page=&utm_source=opensearch,0,,
Independence Day: Resurgence,"$389,681,935",2016,https://www.youtube.com/results?search_query=Independence+Day:+Resurgence+trailer&page=&utm_source=opensearch,0,,
Godzilla: King of the Monsters,"$386,600,138",2019,https://www.youtube.com/results?search_query=Godzilla:+King+of+the+Monsters+trailer&page=&utm_source=opensearch,0,,
1917,"$384,858,994",2019,https://www.youtube.com/results?search_query=1917+trailer&page=&utm_source=opensearch,0,,
Cars 3,"$383,930,656",2017,https://www.youtube.com/results?search_query=Cars+3+trailer&page=&utm_source=opensearch,0,,
Fifty Shades Darker,"$381,545,846",2017,https://www.youtube.com/results?search_query=Fifty+Shades+Darker+trailer&page=&utm_source=opensearch,0,,
Spider-Man: Into the Spider-Verse,"$375,540,831",2018,https://www.youtube.com/results?search_query=Spider-Man:+Into+the+Spider-Verse+trailer&page=&utm_source=opensearch,0,,
Once Upon a Time... In Hollywood,"$374,343,626",2019,https://www.youtube.com/results?search_query=Once+Upon+a+Time...+In+Hollywood+trailer&page=&utm_source=opensearch,0,,
Fifty Shades Freed,"$371,985,018",2018,https://www.youtube.com/results?search_query=Fifty+Shades+Freed+trailer&page=&utm_source=opensearch,0,,
Shazam!,"$365,971,656",2019,https://www.youtube.com/results?search_query=Shazam!+trailer&page=&utm_source=opensearch,0,,
The Nun,"$365,550,119",2018,https://www.youtube.com/results?search_query=The+Nun+trailer&page=&utm_source=opensearch,0,,
Monster Hunt 2,"$361,682,618",2018,https://www.youtube.com/results?search_query=Monster+Hunt+2+trailer&page=&utm_source=opensearch,0,,
Your Name.,"$357,986,087",2016,https://www.youtube.com/results?search_query=Your+Name.+trailer&page=&utm_source=opensearch,0,,
The Legend of Tarzan,"$356,700,357",2016,https://www.youtube.com/results?search_query=The+Legend+of+Tarzan+trailer&page=&utm_source=opensearch,0,,
Dumbo,"$353,284,621",2019,https://www.youtube.com/results?search_query=Dumbo+trailer&page=&utm_source=opensearch,0,,
Murder on the Orient Express,"$352,789,811",2017,https://www.youtube.com/results?search_query=Murder+on+the+Orient+Express+trailer&page=&utm_source=opensearch,0,,
The Angry Birds Movie,"$352,333,929",2016,https://www.youtube.com/results?search_query=The+Angry+Birds+Movie+trailer&page=&utm_source=opensearch,0,,
Peter Rabbit,"$351,266,433",2018,https://www.youtube.com/results?search_query=Peter+Rabbit+trailer&page=&utm_source=opensearch,0,,
